n  sin(n)            cos(n)
-- ----------------- -----------------
 1 0.017452406437284 0.999847695156391
 2 0.034899496702501 0.999390827019096
 3 0.052335956242944 0.998629534754574
 4 0.069756473744125 0.997564050259824
 5 0.087155742747658 0.996194698091746
 6 0.104528463267653 0.994521895368273
 7 0.121869343405147 0.992546151641322
 8 0.139173100960065 0.990268068741570
 9 0.156434465040231 0.987688340595138
10 0.173648177666930 0.984807753012208
11 0.190808995376545 0.981627183447664
12 0.207911690817759 0.978147600733806
13 0.224951054343865 0.974370064785235
14 0.241921895599668 0.970295726275996
15 0.258819045102521 0.965925826289068
16 0.275637355816999 0.961261695938319
17 0.292371704722737 0.956304755963035
18 0.309016994374947 0.951056516295154
19 0.325568154457157 0.945518575599317
20 0.342020143325669 0.939692620785908
21 0.358367949545300 0.933580426497202
22 0.374606593415912 0.927183854566787
23 0.390731128489274 0.920504853452440
24 0.406736643075800 0.913545457642601
25 0.422618261740699 0.906307787036650
26 0.438371146789077 0.898794046299167
27 0.453990499739547 0.891006524188368
28 0.469471562785891 0.882947592858927
29 0.484809620246337 0.874619707139396
30 0.500000000000000 0.866025403784439
31 0.515038074910054 0.857167300702112
32 0.529919264233205 0.848048096156426
33 0.544639035015027 0.838670567945424
34 0.559192903470747 0.829037572555042
35 0.573576436351046 0.819152044288992
36 0.587785252292473 0.809016994374947
37 0.601815023152048 0.798635510047293
38 0.615661475325658 0.788010753606722
39 0.629320391049837 0.777145961456971
40 0.642787609686539 0.766044443118978
41 0.656059028990507 0.754709580222772
42 0.669130606358858 0.743144825477394
43 0.681998360062498 0.731353701619170
44 0.694658370458997 0.719339800338651
45 0.707106781186547 0.707106781186548
46 0.719339800338651 0.694658370458997
47 0.731353701619170 0.681998360062498
48 0.743144825477394 0.669130606358858
49 0.754709580222772 0.656059028990507
50 0.766044443118978 0.642787609686539
51 0.777145961456971 0.629320391049838
52 0.788010753606722 0.615661475325658
53 0.798635510047293 0.601815023152048
54 0.809016994374947 0.587785252292473
55 0.819152044288992 0.573576436351046
56 0.829037572555042 0.559192903470747
57 0.838670567945424 0.544639035015027
58 0.848048096156426 0.529919264233205
59 0.857167300702112 0.515038074910054
60 0.866025403784439 0.500000000000000
61 0.874619707139396 0.484809620246337
62 0.882947592858927 0.469471562785891
63 0.891006524188368 0.453990499739547
64 0.898794046299167 0.438371146789077
65 0.906307787036650 0.422618261740699
66 0.913545457642601 0.406736643075800
67 0.920504853452440 0.390731128489274
68 0.927183854566787 0.374606593415912
69 0.933580426497202 0.358367949545300
70 0.939692620785908 0.342020143325669
71 0.945518575599317 0.325568154457157
72 0.951056516295154 0.309016994374947
73 0.956304755963035 0.292371704722737
74 0.961261695938319 0.275637355816999
75 0.965925826289068 0.258819045102521
76 0.970295726275996 0.241921895599668
77 0.974370064785235 0.224951054343865
78 0.978147600733806 0.207911690817759
79 0.981627183447664 0.190808995376545
80 0.984807753012208 0.173648177666930
81 0.987688340595138 0.156434465040231
82 0.990268068741570 0.139173100960065
83 0.992546151641322 0.121869343405147
84 0.994521895368273 0.104528463267653
85 0.996194698091746 0.087155742747658
86 0.997564050259824 0.069756473744125
87 0.998629534754574 0.052335956242944
88 0.999390827019096 0.034899496702501
89 0.999847695156391 0.017452406437284
90 1.000000000000000 0.000000000000000
