    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.169e-06 |
  2 |   2                3 6.520e-07 |
  3 |   3                5 6.770e-07 |
  4 |   3                8 7.790e-07 |
  5 |   4               13 8.130e-07 |
  6 |   4               22 9.370e-07 |
  7 |   5               36 1.032e-06 |
  8 |   5               60 1.330e-06 |
  9 |   5              100 1.788e-06 |
 10 |   6              167 2.351e-06 |
 11 |   6              279 4.894e-06 |
 12 |   6              465 5.068e-06 |
 13 |   7              777 7.625e-06 |
 14 |   7             1297 1.203e-05 |
 15 |   7             2165 1.947e-05 |
 16 |   7             3614 3.189e-05 |
 17 |   8             6031 5.241e-05 |
 18 |   8            10065 8.657e-05 |
 19 |   8            16795 1.446e-04 |
 20 |   8            28024 2.534e-04 |
 21 |   9            46758 4.023e-04 |
 22 |   9            78011 7.462e-04 |
 23 |   9           130089 1.160e-03 |
 24 |   9           216968 1.947e-03 |
 25 |   9           361900 6.312e-03 |
 26 |  10           603681 5.949e-03 |
 27 |  10          1006960 9.081e-03 |«
 28 |  10          1679716 1.558e-02 |
 29 |  10          2802011 2.603e-02 |
 30 |  10          4646014 4.489e-02 |
 31 |  11          7722181 6.958e-02 |
 32 |  11         12853773 1.158e-01 |
 33 |  11         21386017 1.913e-01 |
 34 |  11         35619371 3.296e-01 |
 35 |  12         59334969 5.434e-01 |
 36 |  12         98840570 8.821e-01 |
 37 |  12        164686712 1.541e+00 |
 38 |  13        274389107 2.574e+00 |
 39 |  13        459567218 4.229e+00 |
 40 |  13        768111560 7.442e+00 |
 41 |  14       1282227796 1.193e+01 |
 42 |  14       2141280677 2.051e+01 |
 43 |  14       3575046050 3.329e+01 |
 44 |  15       5966493580 5.595e+01 |
 45 |  15       9899105730 9.170e+01 |
 46 |  15      16459064555 1.509e+02 |
 47 |  15      27401754858 2.588e+02 |
 48 |  16      43782288332 4.063e+02 |
 49 |  16      71105512109 6.546e+02 |
 50 |  16     114809269360 1.052e+03 |
