    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.459e-06 |
  2 |   2                3 1.089e-06 |
  3 |   3                5 1.054e-06 |
  4 |   3                8 1.282e-06 |
  5 |   4               12 1.457e-06 |
  6 |   4               18 2.560e-06 |
  7 |   5               25 5.171e-06 |
  8 |   5               35 2.462e-06 |
  9 |   5               47 4.725e-06 |
 10 |   6               61 3.664e-06 |
 11 |   6               78 8.674e-06 |
 12 |   6               98 7.453e-06 |
 13 |   7              121 6.578e-06 |
 14 |   7              147 2.821e-05 |
 15 |   7              177 9.185e-06 |
 16 |   7              210 2.641e-05 |
 17 |   8              247 1.267e-05 |
 18 |   8              288 1.428e-05 |
 19 |   8              334 1.650e-05 |
 20 |   8              383 3.440e-05 |
 21 |   9              435 4.851e-05 |
 22 |   9              492 2.960e-05 |
 23 |   9              546 4.807e-05 |
 24 |   9              604 4.837e-05 |
 25 |   9              652 5.255e-05 |
 26 |  10              702 9.437e-05 |
 27 |  10              755 1.391e-04 |
 28 |  10              810 6.963e-05 |
 29 |  10              868 5.716e-05 |
 30 |  10              928 8.699e-05 |
 31 |  11              989 6.351e-05 |
 32 |  11             1053 8.316e-05 |
 33 |  11             1119 7.344e-05 |
 34 |  12             1186 7.359e-05 |
 35 |  12             1256 7.945e-05 |
 36 |  12             1328 8.055e-05 |
 37 |  13             1401 8.704e-05 |
 38 |  13             1477 8.983e-05 |
 39 |  13             1555 9.576e-05 |
 40 |  14             1634 1.168e-04 |
 41 |  14             1716 1.089e-04 |
 42 |  14             1824 1.115e-04 |
 43 |  15             1934 1.192e-04 |
 44 |  15             2047 1.241e-04 |
 45 |  15             2163 1.320e-04 |
 46 |  16             2255 2.093e-04 |
 47 |  16             2349 1.725e-04 |
 48 |  16             2446 1.672e-04 |
 49 |  16             2545 1.733e-04 |
 50 |  17             2645 1.827e-04 |
 55 |  19             3038 1.168e-03 |
 60 |  21             3498 3.045e-04 |
 65 |  23             4111 2.808e-04 |
 70 |  25             4977 3.988e-04 |
 75 |  26             6119 4.303e-04 |
 80 |  27             7519 5.518e-04 |
 85 |  28             9079 5.813e-04 |
 90 |  30             9791 7.271e-04 |
 95 |  32            10416 6.867e-04 |
100 |  35            11066 7.257e-04 |
110 |  39            12923 9.779e-04 |
120 |  42            16303 1.130e-03 |
130 |  44            20333 1.502e-03 |
140 |  46            25166 1.838e-03 |
150 |  48            29516 1.926e-03 |
160 |  52            31855 2.126e-03 |
170 |  57            34425 2.225e-03 |
180 |  60            39420 2.810e-03 |
190 |  62            46471 5.996e-03 |
200 |  64            53375 3.693e-03 |
220 |  70            60695 4.714e-03 |
240 |  77            72881 5.404e-03 |
260 |  81            88997 9.340e-03 |
280 |  88            99406 7.395e-03 |
300 |  96           111326 1.235e-02 |
320 | 101           129478 9.338e-03 |
340 | 111           140282 1.200e-02 |
360 | 115           161738 1.676e-02 |
380 | 120           187504 1.564e-02 |
400 | 128           199004 2.068e-02 |
420 | 134           224864 2.213e-02 |
440 | 139           244576 2.941e-02 |
460 | 147           260274 2.861e-02 |
480 | 152           291534 3.226e-02 |
500 | 159           311195 3.725e-02 |
520 | 166           332771 3.835e-02 |
540 | 171           374386 5.133e-02 |
560 | 178           395026 4.985e-02 |
580 | 185           423005 6.416e-02 |
600 | 189           467882 7.762e-02 |
620 | 195           494556 7.187e-02 |
640 | 203           525170 8.518e-02 |
660 | 208           562360 9.253e-02 |
680 | 214           594909 1.010e-01 |
700 | 222           623269 1.100e-01 |
720 | 227           667202 1.249e-01 |
740 | 236           691185 1.314e-01 |
760 | 241           741710 1.621e-01 |
780 | 244           796765 1.853e-01 |
800 | 253           820100 1.977e-01 |
--- + --- ---------------- --------- +
