    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 7.396e-06 |
  2 |   2                3 4.913e-06 |
  3 |   3                5 6.110e-06 |
  4 |   3                5 8.558e-06 |
  5 |   4                7 1.124e-05 |
  6 |   4                8 7.750e-06 |
  7 |   5               10 8.201e-06 |
  8 |   5               12 7.944e-06 |
  9 |   5               10 5.927e-06 |
 10 |   6               13 7.804e-06 |
 11 |   6               15 7.675e-06 |
 12 |   6               13 1.409e-05 |
 13 |   7               17 8.474e-06 |
 14 |   7               20 1.105e-05 |
 15 |   7               20 1.843e-05 |
 16 |   7               16 1.047e-05 |
 17 |   8               20 2.238e-05 |
 18 |   8               23 1.636e-05 |
 19 |   8               24 1.153e-05 |
 20 |   8               21 3.817e-05 |
 21 |   9               25 1.124e-05 |
 22 |   9               29 1.232e-05 |
 23 |   9               29 1.798e-05 |
 24 |   9               27 1.661e-05 |
 25 |   9               21 2.026e-05 |
 26 |  10               25 1.976e-05 |
 27 |  10               29 1.422e-05 |
 28 |  10               29 1.762e-05 |
 29 |  10               26 3.446e-05 |
 30 |  10               21 1.624e-05 |
 31 |  11               24 1.332e-05 |
 32 |  11               26 1.616e-05 |
 33 |  11               25 9.173e-06 |
 34 |  11               22 7.679e-06 |
 35 |  12               24 1.481e-05 |
 36 |  12               26 1.205e-05 |
 37 |  12               24 9.776e-06 |
 38 |  13               26 9.665e-06 |
 39 |  13               28 1.627e-05 |
 40 |  13               26 8.111e-06 |
 41 |  14               29 1.272e-05 |
 42 |  14               31 1.969e-05 |
 43 |  14               29 7.753e-05 |
 44 |  15               33 1.219e-05 |
 45 |  15               35 1.518e-05 |
 46 |  15               34 1.343e-05 |
 47 |  15               30 2.863e-05 |
 48 |  16               32 9.623e-06 |
 49 |  16               33 2.815e-05 |
 50 |  16               31 2.528e-05 |
 55 |  19               37 1.420e-05 |
 60 |  21               41 1.300e-05 |
 65 |  24               48 1.489e-05 |
 70 |  25               51 1.371e-05 |
 75 |  27               58 3.349e-05 |
 80 |  28               68 3.993e-05 |
 85 |  29               71 1.669e-05 |
 90 |  30               62 5.354e-05 |
 95 |  33               68 1.597e-05 |
100 |  35               72 1.947e-05 |
110 |  40               85 6.620e-05 |
120 |  43               96 4.727e-05 |
130 |  45              105 2.449e-05 |
140 |  47              109 2.996e-05 |
150 |  49              107 4.615e-05 |
160 |  53              108 4.353e-05 |
170 |  57              117 2.827e-05 |
180 |  60              125 2.617e-05 |
190 |  63              139 3.084e-05 |
200 |  64              137 4.006e-05 |
220 |  71              144 6.238e-05 |
240 |  79              168 9.319e-05 |
260 |  83              178 6.153e-05 |
280 |  90              184 4.231e-05 |
300 |  98              207 1.009e-04 |
320 | 103              213 4.823e-05 |
340 | 112              235 3.073e-04 |
360 | 117              246 5.376e-05 |
380 | 121              261 6.919e-05 |
400 | 130              275 6.718e-05 |
420 | 136              297 6.961e-05 |
440 | 141              300 6.233e-05 |
460 | 148              312 1.158e-04 |
480 | 153              337 1.280e-04 |
500 | 159              334 9.461e-05 |
520 | 168              356 1.484e-04 |
540 | 172              383 2.572e-04 |
560 | 179              376 1.614e-04 |
580 | 186              398 1.661e-04 |
600 | 190              415 8.639e-05 |
620 | 197              418 2.478e-04 |
640 | 205              442 8.265e-05 |
660 | 209              445 9.877e-05 |
680 | 216              458 1.112e-04 |
700 | 225              483 2.684e-04 |
720 | 230              490 1.846e-04 |
740 | 239              510 2.257e-04 |
760 | 244              530 1.610e-04 |
780 | 248              527 2.513e-04 |
800 | 257              547 1.565e-04 |
--- + --- ---------------- --------- +
