    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 1.133e-06 |
  2 |   2                3 6.990e-07 |
  3 |   3                5 7.240e-07 |
  4 |   3                5 6.920e-07 |
  5 |   4                7 7.110e-07 |
  6 |   4                8 7.170e-07 |
  7 |   5               10 7.380e-07 |
  8 |   5               12 7.950e-07 |
  9 |   5               10 7.590e-07 |
 10 |   6               13 8.140e-07 |
 11 |   6               15 1.522e-05 |
 12 |   6               13 8.490e-07 |
 13 |   7               17 9.800e-07 |
 14 |   7               20 9.350e-07 |
 15 |   7               20 9.200e-07 |
 16 |   7               16 8.030e-07 |
 17 |   8               20 1.225e-06 |
 18 |   8               23 1.630e-06 |
 19 |   8               24 1.619e-06 |
 20 |   8               21 1.356e-06 |
 21 |   9               25 2.051e-06 |
 22 |   9               29 1.289e-06 |
 23 |   9               30 1.257e-06 |
 24 |   9               28 1.118e-06 |
 25 |   9               21 9.330e-07 |
 26 |  10               25 1.115e-06 |
 27 |  10               29 1.165e-06 |
 28 |  10               29 1.055e-06 |
 29 |  10               26 1.007e-06 |
 30 |  10               21 8.210e-07 |
 31 |  11               24 9.750e-07 |
 32 |  11               26 9.820e-07 |
 33 |  11               25 9.100e-07 |
 34 |  11               22 8.620e-07 |
 35 |  12               24 1.072e-06 |
 36 |  12               26 9.320e-07 |
 37 |  12               24 8.650e-07 |
 38 |  13               26 9.090e-07 |
 39 |  13               28 9.220e-07 |
 40 |  13               26 9.130e-07 |
 41 |  14               29 9.500e-07 |
 42 |  14               31 9.440e-07 |
 43 |  14               29 9.090e-07 |
 44 |  15               33 9.830e-07 |
 45 |  15               35 1.336e-06 |
 46 |  15               34 1.031e-06 |
 47 |  15               30 9.360e-07 |
 48 |  16               32 1.000e-06 |
 49 |  16               33 1.027e-06 |
 50 |  16               31 9.770e-07 |
 55 |  19               37 3.772e-06 |
 60 |  21               41 1.422e-06 |
 65 |  24               48 3.408e-05 |
 70 |  25               51 1.438e-06 |
 75 |  27               58 1.468e-06 |
 80 |  28               68 1.671e-06 |
 85 |  29               71 1.672e-06 |
 90 |  30               62 1.614e-06 |
 95 |  33               68 1.579e-06 |
100 |  35               72 1.539e-06 |
110 |  40               85 4.084e-06 |
120 |  43               96 3.046e-06 |
130 |  45              106 3.113e-06 |
140 |  47              110 3.068e-06 |
150 |  49              107 2.581e-06 |
160 |  53              108 3.498e-06 |
170 |  57              117 3.142e-06 |
180 |  60              125 2.825e-06 |
190 |  63              139 3.611e-06 |
200 |  64              137 3.416e-06 |
220 |  71              144 6.576e-06 |
240 |  79              168 5.773e-06 |
260 |  83              178 5.897e-06 |
280 |  90              184 6.194e-06 |
300 |  98              207 6.095e-06 |
320 | 103              213 5.589e-06 |
340 | 112              235 5.698e-06 |
360 | 117              246 5.906e-06 |
380 | 121              261 6.462e-06 |
400 | 130              275 9.451e-06 |
420 | 136              297 1.377e-05 |
440 | 141              300 8.465e-06 |
460 | 148              312 7.165e-06 |
480 | 153              337 6.712e-06 |
500 | 159              334 6.661e-06 |
520 | 168              356 8.559e-06 |
540 | 172              385 9.769e-06 |
560 | 179              376 7.885e-06 |
580 | 186              398 7.455e-06 |
600 | 190              416 8.993e-06 |
620 | 197              418 3.553e-05 |
640 | 205              442 6.859e-06 |
660 | 209              445 6.700e-06 |
680 | 216              458 4.410e-05 |
700 | 225              483 7.440e-06 |
720 | 230              490 7.481e-06 |
740 | 239              510 7.592e-06 |
760 | 244              530 7.800e-06 |
780 | 248              527 7.819e-06 |
800 | 257              547 1.132e-05 |
--- + --- ---------------- --------- +
